City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bethel,41.3712,-73.414,32.05,82,100,9.22,US,2022-02-13 16:27:04
Cuxhaven,53.8718,8.6909,44.98,63,100,20.31,DE,2022-02-13 16:27:44
Seohara,29.2167,78.5833,55.09,53,0,1.57,IN,2022-02-13 16:27:45
Igarka,67.4667,86.5833,-10.17,84,0,8.23,RU,2022-02-13 16:27:45
Mayumba,-3.432,10.6554,80.06,79,100,5.28,GA,2022-02-13 16:27:46
Gao,16.6362,1.637,89.87,6,1,4.74,ML,2022-02-13 16:27:47
Beyneu,45.3167,55.2,33.12,72,100,27.07,KZ,2022-02-13 16:27:47
Batemans Bay,-35.7167,150.1833,67.1,86,100,4.65,AU,2022-02-13 16:27:48
San Jose,37.3394,-121.895,63.72,52,20,0.0,US,2022-02-13 16:23:50
Qunduz,36.729,68.857,49.62,57,99,3.18,AF,2022-02-13 16:27:49
Upernavik,72.7868,-56.1549,-3.64,95,100,10.8,GL,2022-02-13 16:27:50
Bluff,-46.6,168.3333,43.81,88,17,6.02,NZ,2022-02-13 16:27:50
Yellowknife,62.456,-114.3525,-21.59,75,100,4.61,CA,2022-02-13 16:27:51
Hilo,19.7297,-155.09,67.24,82,40,5.99,US,2022-02-13 16:28:33
Tamboril,19.4854,-70.611,86.11,73,75,9.22,DO,2022-02-13 16:28:52
Cap-Aux-Meules,47.3821,-61.8597,17.65,79,100,19.57,CA,2022-02-13 16:28:53
Arraial Do Cabo,-22.9661,-42.0278,82.36,78,40,11.5,BR,2022-02-13 16:27:18
Busselton,-33.65,115.3333,66.04,66,4,14.72,AU,2022-02-13 16:28:54
Teya,60.3778,92.6267,-10.55,97,39,3.89,RU,2022-02-13 16:28:54
Mar Del Plata,-38.0023,-57.5575,68.02,72,0,11.99,AR,2022-02-13 16:28:56
Bengkulu,-3.8004,102.2655,77.5,87,100,4.07,ID,2022-02-13 16:28:56
Barrow,71.2906,-156.7887,-30.98,100,0,8.05,US,2022-02-13 16:28:57
Severnyy,50.677,36.5532,28.44,69,0,8.95,RU,2022-02-13 16:28:58
Tuatapere,-46.1333,167.6833,43.83,94,13,5.19,NZ,2022-02-13 16:28:58
Tessalit,20.1986,1.0114,80.28,9,2,8.32,ML,2022-02-13 16:28:59
Cape Town,-33.9258,18.4232,75.11,67,20,28.77,ZA,2022-02-13 16:27:40
Pacific Grove,36.6177,-121.9166,64.27,61,0,4.0,US,2022-02-13 16:27:11
Vardo,70.3705,31.1107,14.2,69,100,16.73,NO,2022-02-13 16:24:15
Awjilah,29.1081,21.2869,61.45,37,76,8.3,LY,2022-02-13 16:29:01
Beoumi,7.6736,-5.5764,94.15,31,59,5.35,CI,2022-02-13 16:29:02
Acapulco,16.8634,-99.8901,84.02,51,0,4.61,MX,2022-02-13 16:24:27
Kafue,-15.7691,28.1814,72.93,83,50,4.54,ZM,2022-02-13 16:29:03
Dongsheng,39.8161,109.9776,9.99,59,24,7.43,CN,2022-02-13 16:29:04
Ucluelet,48.9329,-125.5528,34.11,62,61,5.08,CA,2022-02-13 16:29:04
Hangu,39.2489,117.7892,23.04,91,100,6.8,CN,2022-02-13 16:29:05
Port Alfred,-33.5906,26.891,75.87,76,87,11.81,ZA,2022-02-13 16:29:05
Abidjan,5.3094,-4.0197,82.36,83,20,5.75,CI,2022-02-13 16:24:32
Mackay,-21.15,149.2,75.69,83,75,23.02,AU,2022-02-13 16:29:07
Geraldton,-28.7667,114.6,75.61,78,40,10.36,AU,2022-02-13 16:29:07
Kamenka,51.3223,42.7678,18.88,94,29,9.31,RU,2022-02-13 16:29:08
Gat,31.61,34.7642,60.4,28,0,5.57,IL,2022-02-13 16:29:09
Perth,-31.9333,115.8333,80.6,60,0,12.66,AU,2022-02-13 16:26:57
Takaka,-40.85,172.8,54.97,88,100,5.08,NZ,2022-02-13 16:29:10
Agadez,19.75,10.25,77.13,9,4,6.93,NE,2022-02-13 16:29:10
Pozarevac,44.6153,21.1825,42.82,60,39,13.29,RS,2022-02-13 16:29:11
San Quintin,30.4833,-115.95,70.3,23,46,2.37,MX,2022-02-13 16:29:12
Gornopravdinsk,60.05,69.9,5.45,96,100,3.53,RU,2022-02-13 16:29:13
Marco,25.9726,-81.729,68.05,60,100,5.75,US,2022-02-13 16:29:13
Carlsbad,33.1581,-117.3506,74.98,24,0,5.75,US,2022-02-13 16:24:36
Lebu,-37.6167,-73.65,66.78,66,95,10.04,CL,2022-02-13 16:29:14
Hermanus,-34.4187,19.2345,78.91,76,4,14.9,ZA,2022-02-13 16:29:17
Cherskiy,68.75,161.3,-17.57,98,99,8.21,RU,2022-02-13 16:29:18
Nome,64.5011,-165.4064,-14.73,70,0,0.0,US,2022-02-13 16:26:11
Port Lincoln,-34.7333,135.8667,65.52,89,43,11.74,AU,2022-02-13 16:29:19
Tazovskiy,67.4667,78.7,-10.35,94,11,10.42,RU,2022-02-13 16:29:20
Rapid Valley,44.0625,-103.1463,47.03,57,0,5.99,US,2022-02-13 16:29:20
East London,-33.0153,27.9116,74.34,88,0,11.5,ZA,2022-02-13 16:30:19
Saskylakh,71.9167,114.0833,-15.36,84,50,3.44,RU,2022-02-13 16:30:22
Chokurdakh,70.6333,147.9167,-2.4,97,100,10.96,RU,2022-02-13 16:30:17
Thompson,55.7435,-97.8558,-11.04,77,100,5.75,CA,2022-02-13 16:26:09
Maniitsoq,65.4167,-52.9,6.94,94,100,20.89,GL,2022-02-13 16:30:23
Kirakira,-10.4544,161.9205,78.78,84,92,7.63,SB,2022-02-13 16:30:24
Tiksi,71.6872,128.8694,-13.18,94,98,11.45,RU,2022-02-13 16:30:25
Jaguariaiva,-24.2511,-49.7058,80.33,52,15,7.65,BR,2022-02-13 16:30:25
Ariquemes,-9.9133,-63.0408,76.87,96,100,2.33,BR,2022-02-13 16:30:26
Hofn,64.2539,-15.2082,17.62,62,0,8.05,IS,2022-02-13 16:30:27
Provideniya,64.3833,-173.3,-13.11,94,16,3.51,RU,2022-02-13 16:30:27
Carnarvon,-24.8667,113.6333,80.67,83,20,9.22,AU,2022-02-13 16:30:28
Lodja,-3.4833,23.4333,72.72,81,99,3.04,CD,2022-02-13 16:30:29
Luderitz,-26.6481,15.1594,75.43,64,7,16.2,NA,2022-02-13 16:30:30
Glogow,51.6636,16.0845,44.04,70,25,7.52,PL,2022-02-13 16:30:31
Cockburn Town,21.4612,-71.1419,77.43,80,1,19.69,TC,2022-02-13 16:30:32
Imbituba,-28.24,-48.6703,85.89,57,2,15.37,BR,2022-02-13 16:30:32
Pevek,69.7008,170.3133,-18.4,98,100,8.75,RU,2022-02-13 16:30:33
New Norfolk,-42.7826,147.0587,63.9,59,89,2.46,AU,2022-02-13 16:30:34
Dali,25.7,100.1833,42.15,56,0,3.96,CN,2022-02-13 16:30:34
La Primavera,5.4906,-70.4092,92.77,33,32,13.15,CO,2022-02-13 16:30:35
Shache,38.4167,77.2406,37.06,40,0,6.8,CN,2022-02-13 16:30:36
Victoria,22.2855,114.1577,60.33,88,100,8.99,HK,2022-02-13 16:30:01
Nizhniy Tsasuchey,50.5167,115.1333,-20.47,98,20,4.14,RU,2022-02-13 16:30:37
Rafai,4.95,23.9167,84.02,23,100,3.0,CF,2022-02-13 16:30:37
Faanui,-16.4833,-151.75,81.07,73,100,14.32,PF,2022-02-13 16:30:38
Ribeira Grande,38.5167,-28.7,63.0,59,75,4.61,PT,2022-02-13 16:30:15
Bathsheba,13.2167,-59.5167,83.01,57,40,26.46,BB,2022-02-13 16:30:39
Bandarbeyla,9.4942,50.8122,76.14,63,39,18.72,SO,2022-02-13 16:30:40
Ponta Do Sol,32.6667,-17.1,66.7,69,61,2.04,PT,2022-02-13 16:30:41
Miraflores,19.2167,-98.8083,61.86,60,94,2.93,MX,2022-02-13 16:30:41
Abaetetuba,-1.7181,-48.8825,78.84,81,92,2.98,BR,2022-02-13 16:30:43
La Ronge,55.1001,-105.2842,3.45,78,100,9.22,CA,2022-02-13 16:30:45
Sosva,59.1766,61.8558,11.32,97,100,3.78,RU,2022-02-13 16:30:45
Dayong,25.0209,118.2898,55.89,97,100,2.62,CN,2022-02-13 16:30:46
Sola,-13.8833,167.55,81.41,77,98,13.65,VU,2022-02-13 16:30:48
Jamestown,42.097,-79.2353,20.52,49,100,5.75,US,2022-02-13 16:29:52
Qaanaaq,77.484,-69.3632,-7.24,92,100,3.18,GL,2022-02-13 16:30:49
Vila,42.0304,-8.1588,44.33,92,100,9.01,PT,2022-02-13 16:30:20
Laguna De Perlas,12.3429,-83.6712,77.09,78,15,13.44,NI,2022-02-13 16:30:50
Grindavik,63.8424,-22.4338,30.67,86,75,10.36,IS,2022-02-13 16:30:51
Zhanaozen,43.3,52.8,32.74,61,82,19.93,KZ,2022-02-13 16:31:05
Norman Wells,65.282,-126.8329,-14.76,70,75,4.61,CA,2022-02-13 16:30:40
Aragarcas,-15.8975,-52.2508,81.43,75,79,5.5,BR,2022-02-13 16:31:52
Mangrol,21.1167,70.1167,70.07,58,0,12.53,IN,2022-02-13 16:31:53
Tokur,53.1333,132.9,-6.72,99,100,2.95,RU,2022-02-13 16:31:54
Aksu,41.1231,80.2644,30.47,39,10,4.38,CN,2022-02-13 16:31:54
Kesinga,20.2,83.2333,61.83,24,2,2.3,IN,2022-02-13 16:31:55
Camana,-16.6228,-72.7111,75.63,71,49,10.27,PE,2022-02-13 16:31:56
Muhos,64.808,25.9931,29.98,96,100,10.04,FI,2022-02-13 16:31:56
Floro,61.5996,5.0328,42.76,93,75,20.71,NO,2022-02-13 16:31:57
Kavaratti,10.5669,72.642,81.27,68,5,5.17,IN,2022-02-13 16:31:58
Sarankhola,22.3082,89.7897,62.53,52,2,5.26,BD,2022-02-13 16:31:58
Eenhana,-17.4667,16.3333,68.43,91,100,7.18,NA,2022-02-13 16:31:59
Payo,-3.7508,103.6372,73.22,97,100,1.32,ID,2022-02-13 16:32:00
Nyurba,63.2842,118.3319,-17.64,100,93,1.34,RU,2022-02-13 16:32:01
Juba,4.8517,31.5825,87.71,24,83,4.88,SS,2022-02-13 16:32:01
Sitka,57.0531,-135.33,35.49,80,100,3.44,US,2022-02-13 16:32:02
Yacopi,5.4595,-74.3382,71.94,74,100,3.02,CO,2022-02-13 16:32:03
Puerto Carreno,6.189,-67.4859,89.58,43,0,11.5,CO,2022-02-13 16:29:12
Isangel,-19.55,169.2667,78.42,89,86,5.88,VU,2022-02-13 16:32:04
General Pico,-35.6566,-63.7568,77.68,26,0,9.98,AR,2022-02-13 16:32:05
Kununurra,-15.7667,128.7333,80.58,78,73,3.44,AU,2022-02-13 16:31:30
Craidorolt,47.6167,22.7,39.18,60,0,3.44,RO,2022-02-13 16:32:06
Yerbogachen,61.2767,108.0108,-28.39,100,88,3.36,RU,2022-02-13 16:32:07
Surt,31.2089,16.5887,59.13,60,0,7.45,LY,2022-02-13 16:32:08
Yokadouma,3.5167,15.05,84.63,23,75,2.35,CM,2022-02-13 16:32:09
Pangnirtung,66.1451,-65.7125,-23.8,69,0,2.3,CA,2022-02-13 16:32:10
Mizdah,31.4451,12.9801,57.49,39,24,9.26,LY,2022-02-13 16:32:10
Burlington,39.8835,-74.6413,36.72,92,100,5.75,US,2022-02-13 16:27:20
Cidreira,-30.1811,-50.2056,74.21,84,88,8.79,BR,2022-02-13 16:32:12
Asau,46.4333,26.4,34.39,72,100,2.71,RO,2022-02-13 16:31:31
Suntar,62.1444,117.6319,-11.76,98,100,0.74,RU,2022-02-13 16:32:14
Brigantine,39.4101,-74.3646,39.99,82,100,8.05,US,2022-02-13 16:32:14
Dawson Creek,55.7666,-120.2362,31.96,80,0,2.3,CA,2022-02-13 16:32:15
Southend-On-Sea,51.5378,0.7143,47.95,86,100,21.99,GB,2022-02-13 16:32:16
Robertson,36.5167,-86.8667,33.12,53,0,4.61,US,2022-02-13 16:32:17
Sarakhs,36.5449,61.1577,51.94,58,0,0.0,IR,2022-02-13 16:32:17
Ostrovnoy,68.0531,39.5131,11.86,79,36,13.31,RU,2022-02-13 16:32:18
Makakilo City,21.3469,-158.0858,71.92,84,0,5.75,US,2022-02-13 16:32:19
Kang,-23.6752,22.7876,83.48,28,61,5.95,BW,2022-02-13 16:32:20
Dikson,73.5069,80.5464,-3.77,87,100,27.02,RU,2022-02-13 16:32:21
Hamilton,39.1834,-84.5333,25.57,62,20,8.05,US,2022-02-13 16:27:56
Ulaangom,49.9811,92.0667,-26.64,97,92,2.35,MN,2022-02-13 16:30:43
Andrews,32.3187,-102.5457,47.64,34,0,4.61,US,2022-02-13 16:30:35
Tutrakan,44.05,26.6167,43.32,58,100,5.84,BG,2022-02-13 16:32:23
Polyarnyy,69.1989,33.4478,5.47,70,97,10.69,RU,2022-02-13 16:33:24
Lorengau,-2.0226,147.2712,80.35,79,99,2.3,PG,2022-02-13 16:33:25
Magan,39.9683,-3.931,59.34,54,98,19.53,ES,2022-02-13 16:33:25
Komsomolskiy,40.4272,71.7189,39.92,81,75,0.0,UZ,2022-02-13 16:33:26
Rolla,37.9514,-91.7713,35.74,44,0,10.36,US,2022-02-13 16:30:43
Touros,-5.1989,-35.4608,88.7,61,12,12.55,BR,2022-02-13 16:30:10
Korla,41.7597,86.1469,30.4,44,0,3.89,CN,2022-02-13 16:31:11
Leningradskiy,69.3833,178.4167,-18.36,95,97,5.35,RU,2022-02-13 16:29:15
Mount Gambier,-37.8333,140.7667,62.51,88,100,8.05,AU,2022-02-13 16:28:30
Nueva Gerona,21.8833,-82.8,81.0,65,81,6.98,CU,2022-02-13 16:33:30
Yantal,56.8471,105.2542,-26.32,100,36,3.29,RU,2022-02-13 16:33:30
Ngunguru,-35.6167,174.5,58.15,76,3,5.82,NZ,2022-02-13 16:33:31
Saint-Prosper,46.2117,-70.4811,8.69,69,37,2.35,CA,2022-02-13 16:33:32
Simao,22.7886,100.9748,49.55,47,2,2.08,CN,2022-02-13 16:33:33
Castro,-24.7911,-50.0119,79.84,53,7,6.26,BR,2022-02-13 16:29:09
Atherton,53.5237,-2.4935,51.1,89,100,5.01,GB,2022-02-13 16:33:34
Bloomington,44.8408,-93.2983,3.81,66,40,4.61,US,2022-02-13 16:29:51
Bambous Virieux,-20.3428,57.7575,81.21,89,40,8.05,MU,2022-02-13 16:30:50
Longyearbyen,78.2186,15.6401,12.04,92,75,1.14,SJ,2022-02-13 16:33:36
Jiaocheng,24.6774,116.1389,48.83,95,100,2.91,CN,2022-02-13 16:33:37
Klaksvik,62.2266,-6.589,34.72,70,100,33.29,FO,2022-02-13 16:31:36
Broken Hill,-31.95,141.4333,82.11,28,75,11.5,AU,2022-02-13 16:33:38
Nantucket,41.2835,-70.0995,36.14,84,100,17.11,US,2022-02-13 16:32:05
Togur,58.3631,82.8265,6.26,93,99,12.37,RU,2022-02-13 16:33:39
Manzhouli,49.6,117.4333,-19.44,99,59,4.79,CN,2022-02-13 16:33:40
Marsh Harbour,26.5412,-77.0636,76.48,77,100,19.3,BS,2022-02-13 16:33:41
Sioux Lookout,50.1001,-91.917,-16.22,76,0,4.61,CA,2022-02-13 16:31:45
Coolum Beach,-26.5333,153.1,69.12,96,34,10.02,AU,2022-02-13 16:33:42
San Rafael,-34.6177,-68.3301,83.71,16,0,11.32,AR,2022-02-13 16:33:43
Chimore,-16.9833,-65.1333,77.4,75,100,4.43,BO,2022-02-13 16:33:43
Hasaki,35.7333,140.8333,36.0,96,100,35.14,JP,2022-02-13 16:32:42
Hithadhoo,-0.6,73.0833,82.29,76,94,12.41,MV,2022-02-13 16:33:44
Pisco,-13.7,-76.2167,75.25,60,0,6.91,PE,2022-02-13 16:33:45
Lagos,6.5833,3.75,91.72,61,28,9.69,NG,2022-02-13 16:33:46
Kaitangata,-46.2817,169.8464,49.93,85,29,3.58,NZ,2022-02-13 16:31:28
Spring Hill,28.4769,-82.5255,69.12,87,0,3.44,US,2022-02-13 16:31:13
Tuktoyaktuk,69.4541,-133.0374,-34.6,74,20,3.44,CA,2022-02-13 16:33:47
Konstantinovka,49.6167,127.9833,2.35,97,100,4.59,RU,2022-02-13 16:33:48
Lata,40.1629,-8.3327,55.04,95,100,8.32,PT,2022-02-13 16:33:48
Nipawin,53.3668,-104.0009,10.44,92,100,5.75,CA,2022-02-13 16:33:49
Ereymentau,51.6199,73.1033,11.25,99,98,4.41,KZ,2022-02-13 16:33:50
Houma,29.5958,-90.7195,45.0,48,0,16.11,US,2022-02-13 16:33:50
Quimper,48.0,-4.1,50.83,100,100,20.71,FR,2022-02-13 16:33:51
Chuy,-33.6971,-53.4616,73.4,38,2,12.73,UY,2022-02-13 16:33:51
Kavieng,-2.5744,150.7967,80.49,79,97,6.24,PG,2022-02-13 16:33:52
Fallon,39.4735,-118.7774,41.41,64,0,0.0,US,2022-02-13 16:33:53
Srednekolymsk,67.45,153.6833,-32.33,99,16,6.15,RU,2022-02-13 16:34:54
Gushikawa,26.3544,127.8686,65.43,94,20,8.05,JP,2022-02-13 16:34:54
Mahebourg,-20.4081,57.7,81.25,89,40,8.05,MU,2022-02-13 16:31:36
Verkhnevilyuysk,63.4453,120.3167,-18.4,100,98,1.72,RU,2022-02-13 16:34:56
Bilibino,68.0546,166.4372,-32.91,100,92,2.42,RU,2022-02-13 16:34:56
Dauphin,51.1494,-100.0502,5.14,78,100,6.91,CA,2022-02-13 16:33:22
Kodiak,57.79,-152.4072,27.91,86,0,5.75,US,2022-02-13 16:34:57
Iqaluit,63.7506,-68.5145,-20.31,75,75,3.44,CA,2022-02-13 16:34:58
Riyadh,24.6877,46.7219,62.74,26,0,8.72,SA,2022-02-13 16:30:28
Half Moon Bay,37.4636,-122.4286,64.87,80,0,0.0,US,2022-02-13 16:30:46
Impfondo,1.6381,18.0667,86.95,25,100,2.48,CG,2022-02-13 16:35:00
Puri,19.8,85.85,66.72,52,5,5.99,IN,2022-02-13 16:35:00
Los Llanos De Aridane,28.6585,-17.9182,66.13,64,20,9.22,ES,2022-02-13 16:35:01
Bulgan,48.8125,103.5347,-11.97,100,100,0.6,MN,2022-02-13 16:35:01
Ossora,59.2353,163.0719,-9.89,83,45,7.2,RU,2022-02-13 16:35:02
Sabha,27.0377,14.4283,61.0,21,72,9.55,LY,2022-02-13 16:32:22
Itarema,-2.9248,-39.9167,86.23,62,80,14.61,BR,2022-02-13 16:32:42
Hailey,43.5196,-114.3153,22.86,63,0,8.05,US,2022-02-13 16:35:04
Santa Cruz,-17.8,-63.1667,80.65,54,75,19.57,BO,2022-02-13 16:34:44
Kawalu,-7.3817,108.2082,72.79,95,100,2.13,ID,2022-02-13 16:35:05
Shakhtinsk,49.71,72.5872,25.36,94,100,12.26,KZ,2022-02-13 16:35:06
Paamiut,61.994,-49.6678,15.3,94,100,17.74,GL,2022-02-13 16:35:06
Joshimath,30.5667,79.5667,37.92,48,2,9.04,IN,2022-02-13 16:35:07
Khani,41.9563,42.9566,33.37,98,100,2.95,GE,2022-02-13 16:35:08
Hirara,24.8,125.2833,67.24,87,100,27.29,JP,2022-02-13 16:35:09
Sibolga,1.7427,98.7792,75.97,89,83,2.91,ID,2022-02-13 16:35:10
Pasni,25.2631,63.471,71.47,69,3,13.82,PK,2022-02-13 16:35:10
Yoichi,43.2039,140.7703,29.82,78,89,11.86,JP,2022-02-13 16:35:11
Broome,42.2506,-75.833,24.1,62,100,10.36,US,2022-02-13 16:35:12
Torbay,47.6666,-52.7314,45.48,70,75,26.46,CA,2022-02-13 16:34:41
Saldanha,-33.0117,17.9442,78.85,85,19,27.67,ZA,2022-02-13 16:31:07
Jerez,14.1,-89.75,71.46,41,26,12.21,GT,2022-02-13 16:35:14
Coahuayana,18.7333,-103.6833,81.88,26,44,4.34,MX,2022-02-13 16:35:15
Carutapera,-1.195,-46.02,82.36,76,61,8.25,BR,2022-02-13 16:35:15
Manavalakurichi,8.1333,77.3,82.49,72,98,11.03,IN,2022-02-13 16:35:17
Ipixuna,-1.7625,-48.8043,78.75,85,96,2.35,BR,2022-02-13 16:35:18
Nanortalik,60.1432,-45.2371,29.1,81,100,11.61,GL,2022-02-13 16:35:19
Fairbanks,64.8378,-147.7164,11.23,82,100,0.0,US,2022-02-13 16:31:10
Owensboro,37.7742,-87.1133,27.63,58,20,6.91,US,2022-02-13 16:32:39
Airai,-8.9266,125.4092,59.07,91,96,2.28,TL,2022-02-13 16:31:04
Ambanja,-13.6833,48.45,75.69,91,37,1.52,MG,2022-02-13 16:35:21
Lagoa,39.05,-27.9833,57.49,64,84,7.36,PT,2022-02-13 16:32:39
Tortoli,39.9256,9.6572,55.22,76,40,9.22,IT,2022-02-13 16:35:23
Trairi,-3.2778,-39.2689,84.79,67,84,11.63,BR,2022-02-13 16:35:23
Port Hedland,-20.3167,118.5667,84.25,79,75,6.91,AU,2022-02-13 16:36:24
The Valley,18.217,-63.0578,81.82,83,75,14.97,AI,2022-02-13 16:36:25
Vestmannaeyjar,63.4427,-20.2734,34.79,75,20,26.46,IS,2022-02-13 16:36:25
Elizabeth City,36.2946,-76.2511,43.05,73,100,19.57,US,2022-02-13 16:34:56
Nabire,-3.3667,135.4833,75.4,93,100,3.44,ID,2022-02-13 16:36:26
Tosya,41.0155,34.0401,33.26,89,100,4.94,TR,2022-02-13 16:36:27
Kahului,20.8947,-156.47,70.84,90,40,4.61,US,2022-02-13 16:34:22
Xiongzhou,25.1167,114.3,43.7,96,67,3.36,CN,2022-02-13 16:36:28
Mangan,27.5167,88.5333,51.19,52,11,6.4,IN,2022-02-13 16:36:29
Deputatskiy,69.3,139.9,-16.74,94,100,6.49,RU,2022-02-13 16:35:11
Hualmay,-11.0964,-77.6139,76.71,68,21,11.36,PE,2022-02-13 16:36:31
Sao Felix Do Xingu,-6.6447,-51.995,77.99,91,100,5.59,BR,2022-02-13 16:36:31
Ust-Tsilma,65.441,52.1498,1.74,98,56,4.21,RU,2022-02-13 16:36:32
Dwarka,22.2394,68.9678,70.9,59,0,10.76,IN,2022-02-13 16:36:33
Salinas,36.6777,-121.6555,70.38,51,0,10.36,US,2022-02-13 16:32:25
Naze,28.3667,129.4833,58.82,92,100,12.64,JP,2022-02-13 16:36:34
Zhigansk,66.7697,123.3711,-34.38,100,98,2.89,RU,2022-02-13 16:36:35
Haikou,20.0458,110.3417,62.73,94,75,13.42,CN,2022-02-13 16:36:35
Ulaanbaatar,47.9077,106.8832,-27.27,68,0,2.24,MN,2022-02-13 16:36:36
Sorong,-0.8833,131.25,78.58,82,100,3.67,ID,2022-02-13 16:36:37
Cochrane,51.1834,-114.4687,39.76,48,0,8.05,CA,2022-02-13 16:32:48
Khatanga,71.9667,102.5,-25.13,93,85,2.17,RU,2022-02-13 16:36:36
Doha,25.2867,51.5333,66.18,45,0,11.5,QA,2022-02-13 16:32:43
Vostok,46.4856,135.8833,1.04,98,100,1.43,RU,2022-02-13 16:36:39
Ghioroiu,44.7,23.8333,41.36,58,100,5.28,RO,2022-02-13 16:36:39
Zelenoborsk,61.4669,64.0333,-11.81,100,34,2.98,RU,2022-02-13 16:36:40
Bokoro,12.3807,17.0568,86.23,10,4,7.65,TD,2022-02-13 16:36:41
Anton Lizardo,19.05,-95.9833,69.22,63,87,37.09,MX,2022-02-13 16:36:42
Maraa,-1.8333,-65.3667,74.73,95,100,4.29,BR,2022-02-13 16:36:42
Katsuura,35.1333,140.3,38.1,98,100,30.78,JP,2022-02-13 16:36:43
Valdivia,-39.8142,-73.2459,75.29,33,88,6.46,CL,2022-02-13 16:36:44
Sao Gabriel Da Cachoeira,-0.1303,-67.0892,87.6,70,40,4.61,BR,2022-02-13 16:32:02
Gizo,-8.103,156.8419,81.27,77,48,4.61,SB,2022-02-13 16:36:45
Salekhard,66.53,66.6019,-19.43,100,99,1.86,RU,2022-02-13 16:36:45
Kargasok,59.0556,80.8572,4.86,94,100,14.32,RU,2022-02-13 16:36:46
Magadan,59.5667,150.8,-7.78,70,40,7.81,RU,2022-02-13 16:36:47
Rio Grande,-32.035,-52.0986,78.91,45,63,7.43,BR,2022-02-13 16:36:47
Saint-Georges,12.0564,-61.7485,83.88,65,40,23.02,GD,2022-02-13 16:31:57
Abeche,13.8292,20.8324,84.11,11,100,8.5,TD,2022-02-13 16:36:48
Tommot,58.9564,126.2925,-27.51,100,93,1.05,RU,2022-02-13 16:36:49
Kaeo,-35.1,173.7833,58.32,94,7,3.58,NZ,2022-02-13 16:36:50
Matara,5.9485,80.5353,74.03,90,100,11.68,LK,2022-02-13 16:36:51
Sur,22.5667,59.5289,73.11,67,0,2.8,OM,2022-02-13 16:36:51
